DadoBranco|DadoVerde|DadoAzul|DadoVermelho|Possivel|Nomenclatura
2|en e aberta|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
2|en e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
2|en e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
2|en e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
2|en e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
2|en e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
2|en e fechada|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
2|en e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
2|en e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
2|in e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Etino
2|in e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
2|in e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
2|in e aberta|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
2|in e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
2|in e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
2|in e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
2|in e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
2|in e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
2|in e fechada|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
2|in e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
2|in e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
3|an e aberta |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Propano
3|an e aberta |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Propanona/Propanal
3|an e aberta |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Propan-1-ol/Propa-2-ol
3|an e aberta |-O- (Éter)|Não se aplica a rodada 1 |Sim |Metoxi Etano
3|an e aberta |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Propanoico/Metanoato de Etila/ Etanoato de Metila
3|an e aberta |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Propanamina/Propan-2-amina/N-metil-etanamina/Propanamida/N-metil-etanamida/N-etil-metanamida/N,N-dimetilmetanamina
3|an e fechada |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclopropano
3|an e fechada |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Ciclopropanona
3|an e fechada |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Ciclopropanol
3|an e fechada |-O- (Éter)|Não se aplica a rodada 1 |Sim |Não definido
3|an e fechada |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido ciclopropanoico
3|an e fechada |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Ciclopropanamina
3|en e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Propeno
3|en e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Propenal
3|en e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Prop-1-en-1-ol/Prop-1-en-1-ol/Prop-2-en-1-ol/Prop-2-en-2-al
3|en e aberta|-O- (Éter)|Não se aplica a rodada 1 |Sim |Metoxi eteno
3|en e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido prop-2-enoico
3|en e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Prop-1-enamina/Prop-2-enamina/
3|en e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclopropeno
3|en e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Ciclopropenona
3|en e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Cicloprop-2-en-1-ol/Cicloprop-1-en-1-ol
3|en e fechada|-O- (Éter)|Não se aplica a rodada 1 |Sim |Não definido
3|en e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Ciclopropanocarboxílico
3|en e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Ciclopropenamina/Ciclopropenamida
3|in e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Propino
3|in e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Propinal
3|in e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Ciclopropinol
3|in e aberta|-O- (Éter)|Não se aplica a rodada 1 |Sim |Propargil metil éter
3|in e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
3|in e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Prop-2-inamina
3|in e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
3|in e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
3|in e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
3|in e fechada|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
3|in e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
3|in e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
4|an e aberta |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Butano
4|an e aberta |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Butanal/Butanona
4|an e aberta |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Butan-1-ol/Butan-2-ol
4|an e aberta |-O- (Éter)|Não se aplica a rodada 1 |Sim |Etoxi Etano/ Metoxi propano
4|an e aberta |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Butanoico/ Etanoato de Etila/ Metanoato de Propila/ Propanoato de Metila...
4|an e aberta |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Butanamida/ Butan-1-amina/Butan-2-amina
4|an e fechada |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclobutano
4|an e fechada |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Ciclobutanona
4|an e fechada |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Ciclobutanol
4|an e fechada |-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
4|an e fechada |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
4|an e fechada |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Ciclobutan-1-amina
4|en e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |But-1-eno/But-2-eno
4|en e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |But-1-enal/But-2-enal/ Butenona
4|en e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |But-1-en-1-ol/But-2-en-1-ol/But-2-en-2-ol/But-1-en-2-ol/But-3-en-1-ol
4|en e aberta|-O- (Éter)|Não se aplica a rodada 1 |Sim |Metoxi Propeno
4|en e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido But-2-enoico/But-2-enoato de metil
4|en e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |But-2-en-1-amina/But-2-enamida/But-3-em-1-amina
4|en e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclobuteno
4|en e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Ciclobut-2-enona
4|en e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Ciclobuten-1-ol/Ciclobuten-2-ol
4|en e fechada|-O- (Éter)|Não se aplica a rodada 1 |Sim |Metoxi ciclopropeno
4|en e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Ciclobut -1-enoico
4|en e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Ciclobut-1-enamina/Ciclobut-2-enamina
4|in e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |But-1-ino/But-2-ino
4|in e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
4|in e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
4|in e aberta|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
4|in e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
4|in e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
4|in e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
4|in e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
4|in e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
4|in e fechada|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
4|in e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
4|in e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
5|an e aberta |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Pentano
5|an e aberta |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Penta-1-al/ Pentan-2-ona/Pentan-3-ona
5|an e aberta |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Metoxi Butano/Etoxi Propano
5|an e aberta |-O- (Éter)|Não se aplica a rodada 1 |Sim |Pentan-1-ol/Pentan-2-ol/Penta-3-ol
5|an e aberta |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Pentanoico/Butanoato de Metila/Propanoato de Etila/Etanoato de Propila/Metanoato de Butila
5|an e aberta |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Pentan-1-amina/Pentan-2-amina/Pentan-3-amina/Pentan-1-amida/Pentan-2-amida
5|an e fechada |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclopenteno
5|an e fechada |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
5|an e fechada |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
5|an e fechada |-O- (Éter)|Não se aplica a rodada 1 |Sim |Ciclopentanol
5|an e fechada |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Ciclopentanocarboxílico
5|an e fechada |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Ciclopentananamina/Ciclopentanamida
5|en e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Pent-1-eno/Pent-2-eno
5|en e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
5|en e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Etoxi propeno
5|en e aberta|-O- (Éter)|Não se aplica a rodada 1 |Sim |Pent-3-en-2-ol/Pent-2-en-2-ol/Pent-2-en-1-ol/Pent-1-en-2-ol
5|en e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Acido Pentenóico/But-2-enoato de metila/ But-3-enoato de metila/Propenoato de etila
5|en e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Pent-3-en-2-amina/Pent-3-en-2-amida
5|en e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclopenteno
5|en e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
5|en e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
5|en e fechada|-O- (Éter)|Não se aplica a rodada 1 |Sim |Ciclopent-2-en-1-ol/Ciclopent-1-en-1-ol
5|en e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Ciclopentenocarboxílico
5|en e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Ciclopentenamina/Ciclopentenamida
5|in e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Pent-1-ino/Pent-2-ino
5|in e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
5|in e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Etil propilacetilino
5|in e aberta|-O- (Éter)|Não se aplica a rodada 1 |Sim |Pent-3-in-2-ol
5|in e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Acido Pentinoico/Butinoato de metila
5|in e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Pent-3-in-2-amina
5|in e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
5|in e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
5|in e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
5|in e fechada|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
5|in e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
5|in e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
6|an e aberta |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Hexano
6|an e aberta |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Hexanal/Hexan-2-ona/Hexan-3-ona
6|an e aberta |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Metoxi Pentano/Etoxi butano/Propoxi propano
6|an e aberta |-O- (Éter)|Não se aplica a rodada 1 |Sim |Hexan-1-ol/Hexan-2-ol/Hexan-3-ol
6|an e aberta |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Hexanoico/Pentanoato de Metila/Butanoato de etila/Propanoato de propila...
6|an e aberta |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Hexan-1-amina/Hexan-2-amina/Hexan-3-amina/Hexan-1-amida/Hexan-2-amida/Hexan-3-amida
6|an e fechada |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclohexano
6|an e fechada |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Ciclohexanona
6|an e fechada |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |1,4-Dimetoxiciclohexano
6|an e fechada |-O- (Éter)|Não se aplica a rodada 1 |Sim |Ciclohexanol
6|an e fechada |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido ciclohexanocarboxílico
6|an e fechada |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Ciclohexilamina
6|en e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Hex-1-eno/Hex-2-eno/Hex-3-eno
6|en e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Hex-2-enal/Hex-4-en-3-ona/Hex-3-en-2-ona
6|en e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Propoxi propeno/Etoxi Buteno
6|en e aberta|-O- (Éter)|Não se aplica a rodada 1 |Sim |Hex-2-en-1-ol/Hex-2-en-2-ol/Hex-2-en-3-ol/Hex-1-en-2-ol
6|en e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Hex-2-enoico/Ácido Hex-3-enoico/ Pent-2-enoato de metila/Pent-3-enoato de metila/Pent-4-enoato de metila...
6|en e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Hex-2-en-2-amina/Hex-3-en-2-amina/Hex-3-en-1-amina
6|en e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclohexeno
6|en e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Ciclohex-2-enona
6|en e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Não definido
6|en e fechada|-O- (Éter)|Não se aplica a rodada 1 |Sim |Ciclohex-2-en-1-ol
6|en e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido ciclohex-2-enoico
6|en e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Ciclohex-2-enamina
6|in e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Hex-1-ino/Hex-2-ino/Hex-3-ino
6|in e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
6|in e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
6|in e aberta|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
6|in e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
6|in e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
6|in e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Ciclohex-1-ino
6|in e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
6|in e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
6|in e fechada|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
6|in e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
6|in e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
1|an e aberta|CxHy (Hidrocarboneto)|Metil|Não |Não definido
1|an e aberta|C=O (Aldeído/Cetona)|Metil|Não |Não definido
1|an e aberta|-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
1|an e aberta|-O- (Éter)|Metil|Não |Não definido
1|an e aberta|-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
1|an e aberta|N (Amina/Amida)|Metil|Não |Não definido
1|an e fechada |CxHy (Hidrocarboneto)|Metil|Não |Não definido
1|an e fechada |C=O (Aldeído/Cetona)|Metil|Não |Não definido
1|an e fechada |-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
1|an e fechada |-O- (Éter)|Metil|Não |Não definido
1|an e fechada |-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
1|an e fechada |N (Amina/Amida)|Metil|Não |Não definido
1|en e aberta|CxHy (Hidrocarboneto)|Metil|Não |Não definido
1|en e aberta|C=O (Aldeído/Cetona)|Metil|Não |Não definido
1|en e aberta|-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
1|en e aberta|-O- (Éter)|Metil|Não |Não definido
1|en e aberta|-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
1|en e aberta|N (Amina/Amida)|Metil|Não |Não definido
1|en e fechada |CxHy (Hidrocarboneto)|Metil|Não |Não definido
1|en e fechada |C=O (Aldeído/Cetona)|Metil|Não |Não definido
1|en e fechada |-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
1|en e fechada |-O- (Éter)|Metil|Não |Não definido
1|en e fechada |-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
1|en e fechada |N (Amina/Amida)|Metil|Não |Não definido
1|in e aberta|CxHy (Hidrocarboneto)|Metil|Não |Não definido
1|in e aberta|C=O (Aldeído/Cetona)|Metil|Não |Não definido
1|in e aberta|-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
1|in e aberta|-O- (Éter)|Metil|Não |Não definido
1|in e aberta|-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
1|in e aberta|N (Amina/Amida)|Metil|Não |Não definido
1|in e fechada |CxHy (Hidrocarboneto)|Metil|Não |Não definido
1|in e fechada |C=O (Aldeído/Cetona)|Metil|Não |Não definido
1|in e fechada |-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
1|in e fechada |-O- (Éter)|Metil|Não |Não definido
1|in e fechada |-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
1|in e fechada |N (Amina/Amida)|Metil|Não |Não definido
2|an e aberta|CxHy (Hidrocarboneto)|Metil|Não |Não definido
2|an e aberta|C=O (Aldeído/Cetona)|Metil|Não |Não definido
2|an e aberta|-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
2|an e aberta|-O- (Éter)|Metil|Não |Não definido
2|an e aberta|-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
2|an e aberta|N (Amina/Amida)|Metil|Não |Não definido
2|an e fechada |CxHy (Hidrocarboneto)|Metil|Não |Não definido
2|an e fechada |C=O (Aldeído/Cetona)|Metil|Não |Não definido
2|an e fechada |-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
2|an e fechada |-O- (Éter)|Metil|Não |Não definido
2|an e fechada |-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
2|an e fechada |N (Amina/Amida)|Metil|Não |Não definido
2|en e aberta|CxHy (Hidrocarboneto)|Metil|Não |Não definido
2|en e aberta|C=O (Aldeído/Cetona)|Metil|Não |Não definido
2|en e aberta|-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
2|en e aberta|-O- (Éter)|Metil|Não |Não definido
2|en e aberta|-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
2|en e aberta|N (Amina/Amida)|Metil|Não |Não definido
2|en e fechada |CxHy (Hidrocarboneto)|Metil|Não |Não definido
2|en e fechada |C=O (Aldeído/Cetona)|Metil|Não |Não definido
2|en e fechada |-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
2|en e fechada |-O- (Éter)|Metil|Não |Não definido
2|en e fechada |-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
2|en e fechada |N (Amina/Amida)|Metil|Não |Não definido
2|in e aberta|CxHy (Hidrocarboneto)|Metil|Não |Não definido
2|in e aberta|C=O (Aldeído/Cetona)|Metil|Não |Não definido
2|in e aberta|-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
2|in e aberta|-O- (Éter)|Metil|Não |Não definido
2|in e aberta|-COO- (Ácido Carboxílico/Éster)|Metil|Não |Não definido
2|in e aberta|N (Amina/Amida)|Metil|Não |Não definido
2|in e fechada |CxHy (Hidrocarboneto)|Metil|Não |Não definido
2|in e fechada |C=O (Aldeído/Cetona)|Metil|Não |Não definido
2|in e fechada |-OH (Álcool/Enol/Fenol)|Metil|Não |Não definido
2|in e fechada |-O- (Éter)|Metil|Não |Não definido
